id_starname,dr3_source_id,bpmag,bpmag_err,rpmag,rpmag_err,parallax,parallax_err,feh,feh_err,feh_prov,ruwe
tic155873992,1068736748287015552,13.356457,0.002829,12.429008,0.003826,1.69584,0.0156,0.0262212688627867,0.15,Poly,1.158
tic431693152,3232341019161143296,12.537357,0.003023,11.617412,0.003872,4.035792,0.013900000000000001,0.2162989543636895,0.15,Poly,1.128
tic190479710,1973704224627260032,13.683207,0.002832,12.749128,0.003792,1.684205,0.0107,0.0220658572647085,0.15,Poly,1.029
tic45296362,5302750486906068096,14.298055,0.003337,13.41108,0.003923,1.490974,0.0122,-0.0534140520406154,0.15,Poly,0.936
tic267545252,2131765583823450112,14.728683,0.003379,13.803658,0.003963,1.385335,0.0152,0.1038013810519018,0.15,Poly,0.988
tic177162886,5267242854094212224,12.428954,0.002878,11.524519,0.003805,3.330795,0.011300000000000001,0.1899700410994782,0.15,Poly,1.049
tic27039476,3409148746676599168,10.237208,0.003273,9.336145,0.004018,11.205079999999999,0.0162,0.245284364772238,0.15,Poly,0.956
tic76798849,3428182667344790144,13.617257,0.002934,12.734102,0.00389,1.879103,0.0147,0.0200221740148629,0.15,Poly,0.967
tic243476396,6112021659474245504,14.03747,0.002901,13.154608,0.003995,1.0502419999999002,0.0369,-0.197853927946328,0.15,Poly,2.278
tic4165850,880230839824089600,10.995569,0.002876,10.129559,0.003802,6.671641,0.0208,0.2393651166055059,0.15,Poly,1.205
tic345697569,1994815431993961984,13.786983,0.002887,12.86014,0.003812,1.453925,0.012,0.0677746329806749,0.15,Poly,1.019
tic453211454,3145754895088191744,8.761933,0.002809,7.87394,0.003789,20.503065,0.019,0.1777905057271205,0.15,Poly,1.121
tic173612049,1937965286355036544,11.273131,0.003062,10.417073,0.003901,5.909244999999999,0.0148,0.0298128601935303,0.15,Poly,0.924
tic241225337,996432721909716352,10.59986,0.004724,9.698987,0.004549,8.757375,0.013900000000000001,0.2842123172299855,0.15,Poly,0.848
tic339672028,5486322710592888064,10.197562,0.002819,9.339731,0.003794,5.636698,0.011600000000000001,0.382164023625724,0.15,Poly,0.963
tic394721720,4616414953515749888,12.596423,0.002852,11.725384,0.003803,2.823372,0.011399999999999999,-0.1066226112378814,0.15,Poly,1.212
tic299158887,2132628489996257920,11.904185,0.003236,11.00046,0.003972,5.156612,0.0096,0.2185348464191792,0.15,Poly,0.752
tic310094771,1283754733953742720,14.240851,0.002887,13.315395,0.003825,1.747513,0.0175,0.1099736917199676,0.15,Poly,0.959
tic422653398,2507775019804197760,11.87455,0.003385,10.962472,0.003976,2.946711,0.0563,0.0896773995464661,0.15,Poly,2.954
